chi,delta1,max_excess,stable
0.0000,0.0000,0.100765,1
0.0050,0.0000,0.100765,1
0.0100,0.0000,0.100765,1
0.0200,0.0000,0.100765,1
0.0500,0.0000,0.100765,1
0.0000,0.0010,0.100767,1
0.0050,0.0010,0.100767,1
0.0100,0.0010,0.100767,1
0.0200,0.0010,0.100767,1
0.0500,0.0010,inf,0
0.0000,0.0050,0.100826,1
0.0050,0.0050,0.100825,1
0.0100,0.0050,0.10082,1
0.0200,0.0050,0.100807,1
0.0500,0.0050,inf,0
0.0000,0.0120,0.101039,1
0.0050,0.0120,0.10104,1
0.0100,0.0120,0.10104,1
0.0200,0.0120,0.101023,1
0.0500,0.0120,inf,0
0.0000,0.0200,0.101003,1
0.0050,0.0200,0.101004,1
0.0100,0.0200,0.101007,1
0.0200,0.0200,0.10101,1
0.0500,0.0200,inf,0
