anchor_id,beta1,beta2,beta3,xi,chi,max_excess,stable
P1,0.0000,-0.6000,0.5000,1.0000,0.0000,0.100765,1
P1,0.0000,-0.6000,0.5000,1.0000,0.0050,0.100765,1
P1,0.0000,-0.6000,0.5000,1.0000,0.0100,0.100765,1
P1,0.0000,-0.6000,0.5000,1.0000,0.0150,0.100765,1
P1,0.0000,-0.6000,0.5000,1.0000,0.0180,0.100765,1
P1,0.0000,-0.6000,0.5000,1.0000,0.0200,0.100765,1
P1,0.0000,-0.6000,0.5000,1.0000,0.0250,0.100765,1
P1,0.0000,-0.6000,0.5000,1.0000,0.0500,0.100765,1
P1,0.0000,-0.6000,0.5000,1.0000,0.1000,0.100765,1
P1,0.0000,-0.6000,0.5000,1.0000,0.2000,0.100765,1
P1,0.0000,-0.6000,0.5000,1.0000,0.3000,0.100765,1
P1,0.0000,-0.6000,0.5000,1.0000,0.5000,0.100765,1
P2,0.2060,-2.6230,-0.6000,0.0110,0.0000,0.100765,1
P2,0.2060,-2.6230,-0.6000,0.0110,0.0050,0.100765,1
P2,0.2060,-2.6230,-0.6000,0.0110,0.0100,0.100765,1
P2,0.2060,-2.6230,-0.6000,0.0110,0.0150,0.100765,1
P2,0.2060,-2.6230,-0.6000,0.0110,0.0180,0.100765,1
P2,0.2060,-2.6230,-0.6000,0.0110,0.0200,0.100765,1
P2,0.2060,-2.6230,-0.6000,0.0110,0.0250,0.100765,1
P2,0.2060,-2.6230,-0.6000,0.0110,0.0500,0.100765,1
P2,0.2060,-2.6230,-0.6000,0.0110,0.1000,0.100765,1
P2,0.2060,-2.6230,-0.6000,0.0110,0.2000,0.100765,1
P2,0.2060,-2.6230,-0.6000,0.0110,0.3000,0.100765,1
P2,0.2060,-2.6230,-0.6000,0.0110,0.5000,0.100765,1
P3,-1.1800,-1.7840,-0.2580,6.0300,0.0000,0.100765,1
P3,-1.1800,-1.7840,-0.2580,6.0300,0.0050,0.100765,1
P3,-1.1800,-1.7840,-0.2580,6.0300,0.0100,0.100765,1
P3,-1.1800,-1.7840,-0.2580,6.0300,0.0150,0.100765,1
P3,-1.1800,-1.7840,-0.2580,6.0300,0.0180,0.100765,1
P3,-1.1800,-1.7840,-0.2580,6.0300,0.0200,0.100765,1
P3,-1.1800,-1.7840,-0.2580,6.0300,0.0250,0.100765,1
P3,-1.1800,-1.7840,-0.2580,6.0300,0.0500,0.100765,1
P3,-1.1800,-1.7840,-0.2580,6.0300,0.1000,0.100765,1
P3,-1.1800,-1.7840,-0.2580,6.0300,0.2000,0.100765,1
P3,-1.1800,-1.7840,-0.2580,6.0300,0.3000,0.100765,1
P3,-1.1800,-1.7840,-0.2580,6.0300,0.5000,0.100765,1
P4,-0.1000,-0.4500,0.0000,1.0000,0.0000,0.100765,1
P4,-0.1000,-0.4500,0.0000,1.0000,0.0050,0.100765,1
P4,-0.1000,-0.4500,0.0000,1.0000,0.0100,0.100765,1
P4,-0.1000,-0.4500,0.0000,1.0000,0.0150,0.100765,1
P4,-0.1000,-0.4500,0.0000,1.0000,0.0180,0.100765,1
P4,-0.1000,-0.4500,0.0000,1.0000,0.0200,0.100765,1
P4,-0.1000,-0.4500,0.0000,1.0000,0.0250,0.100765,1
P4,-0.1000,-0.4500,0.0000,1.0000,0.0500,0.100765,1
P4,-0.1000,-0.4500,0.0000,1.0000,0.1000,0.100765,1
P4,-0.1000,-0.4500,0.0000,1.0000,0.2000,0.100765,1
P4,-0.1000,-0.4500,0.0000,1.0000,0.3000,0.100765,1
P4,-0.1000,-0.4500,0.0000,1.0000,0.5000,0.100765,1
P5,0.0000,-1.5000,0.0000,1.0000,0.0000,0.100765,1
P5,0.0000,-1.5000,0.0000,1.0000,0.0050,0.100765,1
P5,0.0000,-1.5000,0.0000,1.0000,0.0100,0.100765,1
P5,0.0000,-1.5000,0.0000,1.0000,0.0150,0.100765,1
P5,0.0000,-1.5000,0.0000,1.0000,0.0180,0.100765,1
P5,0.0000,-1.5000,0.0000,1.0000,0.0200,0.100765,1
P5,0.0000,-1.5000,0.0000,1.0000,0.0250,0.100765,1
P5,0.0000,-1.5000,0.0000,1.0000,0.0500,0.100765,1
P5,0.0000,-1.5000,0.0000,1.0000,0.1000,0.100765,1
P5,0.0000,-1.5000,0.0000,1.0000,0.2000,0.100765,1
P5,0.0000,-1.5000,0.0000,1.0000,0.3000,0.100765,1
P5,0.0000,-1.5000,0.0000,1.0000,0.5000,0.100765,1
