anchor_id,delta1,chi,max_excess,stable
P1,0.0050,0.0050,0.100825,1
P1,0.0050,0.0100,0.10082,1
P1,0.0050,0.0150,0.100814,1
P1,0.0050,0.0180,0.100809,1
P1,0.0050,0.0200,0.100807,1
P1,0.0050,0.0250,0.1008,1
P1,0.0050,0.0300,0.100795,1
P1,0.0050,0.0350,0.10079,1
P1,0.0050,0.0400,inf,0
P1,0.0050,0.0450,inf,0
P1,0.0050,0.0500,inf,0
P3,0.0050,0.0050,0.281321,1
P3,0.0050,0.0100,0.281323,1
P3,0.0050,0.0150,0.281328,1
P3,0.0050,0.0180,0.281331,1
P3,0.0050,0.0200,0.281334,1
P3,0.0050,0.0250,0.281342,1
P3,0.0050,0.0300,0.281352,1
P3,0.0050,0.0350,0.281364,1
P3,0.0050,0.0400,0.281378,1
P3,0.0050,0.0450,0.281393,1
P3,0.0050,0.0500,0.281411,1
P4,0.0050,0.0050,0.100828,1
P4,0.0050,0.0100,0.100823,1
P4,0.0050,0.0150,0.100816,1
P4,0.0050,0.0180,0.100812,1
P4,0.0050,0.0200,0.100809,1
P4,0.0050,0.0250,0.100802,1
P4,0.0050,0.0300,0.100796,1
P4,0.0050,0.0350,0.100791,1
P4,0.0050,0.0400,inf,0
P4,0.0050,0.0450,inf,0
P4,0.0050,0.0500,inf,0
P5,0.0050,0.0050,0.101014,1
P5,0.0050,0.0100,0.100971,1
P5,0.0050,0.0150,0.100914,1
P5,0.0050,0.0180,0.100884,1
P5,0.0050,0.0200,inf,0
P5,0.0050,0.0250,inf,0
P5,0.0050,0.0300,inf,0
P5,0.0050,0.0350,inf,0
P5,0.0050,0.0400,inf,0
P5,0.0050,0.0450,inf,0
P5,0.0050,0.0500,inf,0
