sample,beta1,beta2,beta3,xi,delta1,chi,zeta1,zeta2,zeta3,beta_constraint_pass,max_excess,probe_pass
0,-0.0752005,-1.98531,-0.715601,0.0557554,0.0238995,0.00381703,0.00603405,0.00424556,0.00232888,1,3.37277,0
1,0.26376,-2.57885,-0.316274,0.0397274,-0.0248809,0.00144378,0.0156925,0.00454349,0.0152456,1,inf,0
2,-1.15765,-1.84791,0.764666,0.240228,-0.00737834,-0.00303995,0.0138429,0.014469,0.0321901,1,4.09784,0
3,-0.527486,-1.67214,-0.785769,5.00374,0.00588921,-0.0087446,0.0448012,-0.0172162,-0.0499605,1,0.454277,0
4,-0.669484,-2.34579,-0.0907804,2.93341,-0.0170187,-0.00120666,0.00883715,0.0202717,-0.0147804,1,0.657704,0
5,0.0287711,-2.08995,-0.558563,0.0140612,-0.0204204,-0.00780153,-0.034336,0.0124165,0.0307164,1,inf,0
6,-1.35231,-1.32462,-0.533614,0.423413,-0.0102548,0.00684764,0.00955661,-0.0183995,-0.00581716,0,inf,0
7,0.959476,-2.7619,0.140954,0.0101898,0.0131796,0.00855443,0.0130772,-0.0116488,0.0268541,1,10.1533,0
8,0.424486,-2.24633,0.781663,6.41523,0.00922579,0.00447913,-0.0107198,0.0191258,-0.0213284,1,0.100769,1
9,-0.538053,-2.51615,-0.313414,1.00158,0.0048106,-0.00461897,-0.0140849,0.00400932,-0.0107327,1,1.39408,0
10,0.130417,-1.03075,0.863818,0.139322,0.003115,0.00467504,-0.0249072,0.00322915,0.0220815,1,0.101034,1
11,-1.01377,-2.6811,0.489222,0.098764,0.0163457,-0.00710213,-0.0334269,-0.00943742,0.0203931,1,7.34519,0
12,-0.364311,-1.58189,-0.0756581,0.32955,-0.0060531,-0.00271616,0.0326183,0.0183482,-0.0227975,1,1.41304,0
13,0.236145,-0.611129,-0.358134,0.50667,0.0190664,-0.00633604,-0.0461755,-0.016443,-0.0382845,0,inf,0
14,0.0265394,-2.87413,0.980379,0.145167,-0.0168412,-0.00412192,0.0234438,0.0150815,-0.0324329,1,3.45007,0
15,0.301115,-2.47617,0.76838,3.44865,0.0120067,-0.0012214,-0.011887,0.00990137,0.00694117,1,0.100738,1
16,-0.802373,-2.57886,0.523774,4.98888,-0.0211738,-0.0014646,0.0213862,0.0105779,-0.0427176,1,0.421272,0
17,-0.398599,-2.00551,0.804884,0.762398,-0.00013379,-0.00276849,0.00900224,-0.00837745,0.0409244,1,1.18723,0
18,0.733669,-1.79343,0.819703,0.0321991,0.0130755,0.0033221,-0.0324925,-0.0141753,0.0274997,1,1.06499,0
19,0.627306,-1.65848,0.658476,0.0374677,0.0184793,-0.000849023,0.0227794,-0.00345994,-0.0265226,1,1.63186,0
20,-1.29083,-2.97868,0.356888,0.0203186,0.00431782,-0.00321471,-0.0103651,0.0155286,0.0320259,1,inf,0
21,-0.0773282,-2.15177,-0.664073,0.0187662,-0.0192533,-0.00355018,-0.0287861,-0.0103761,0.0407404,1,7.4063,0
22,-0.0735365,-0.372392,-0.624095,0.510235,0.0226949,-0.00347142,0.0171093,0.0123334,0.0197929,0,inf,0
23,0.931235,-2.84232,-0.0122947,0.037404,-0.0165375,0.00183838,-0.0482194,0.0105815,-0.0209094,1,0.729002,0
24,0.0175043,-2.01657,0.0764472,1.27541,0.0194998,-0.00140386,0.0456586,-0.018819,-0.0173363,1,inf,0
25,-0.710448,-0.861282,0.361693,0.106641,-0.0187418,0.00239311,-0.0097501,-0.00376629,-0.0243972,0,inf,0
26,0.90996,-0.564355,0.805111,4.11464,0.0162946,0.00789721,0.0430701,0.012616,-0.00467963,0,inf,0
27,-0.40479,-2.84157,-0.158024,5.88824,0.0138332,0.00371884,0.0381956,0.0204928,-0.025557,1,0.208146,1
28,0.428617,-1.73809,-0.605396,7.45842,-0.0105098,-0.00776114,-0.0312725,0.0200822,0.0447324,1,0.100986,1
29,0.633577,-0.931631,-0.1255,0.0791349,-0.0221015,0.00829498,-0.013778,-0.0188335,-0.0013795,0,inf,0
