delta1,kappa,B0,alpha1,alpha2,alpha3,grid_shape,t_end,dt,scheme,bc,P_max,P_max_time,P_final,P_asymptotic,P_transmitted,P_reflected,wall_time_s,run_status,error_message,solver_exit_code,stability_profile,borderline_stability
-0.5,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.001559748446174222,10.0,0.001559748446174222,0.001559748446174222,0.001559748446174222,3.345418026284021e-35,1.48,success,,0,v1-unit-0.3,False
-0.475,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.0017940517620955601,10.0,0.0017940517620955601,0.0017940517620955601,0.0017940517620955601,6.982789564237504e-35,1.53,success,,0,v1-unit-0.3,False
-0.45,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.002030337285758847,10.0,0.002030337285758847,0.002030337285758847,0.002030337285758847,4.2938132150041303e-35,1.56,success,,0,v1-unit-0.3,False
-0.425,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.0022662100241773032,10.0,0.0022662100241773032,0.0022662100241773032,0.0022662100241773032,5.710333913934551e-35,1.38,success,,0,v1-unit-0.3,False
-0.4,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.002499455278414347,10.0,0.002499455278414347,0.002499455278414347,0.002499455278414347,6.697428855541451e-35,2.83,success,,0,v1-unit-0.3,False
-0.375,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.002728029826562404,10.0,0.002728029826562404,0.002728029826562404,0.002728029826562404,6.820286328696424e-35,2.44,success,,0,v1-unit-0.3,False
-0.35,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.0029500537094442896,10.0,0.0029500537094442896,0.0029500537094442896,0.0029500537094442896,1.0496733822891437e-34,2.71,success,,0,v1-unit-0.3,False
-0.32499999999999996,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.003163802601399479,10.0,0.003163802601399479,0.003163802601399479,0.003163802601399479,9.536896746708622e-35,3.0,success,,0,v1-unit-0.3,False
-0.3,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.0033677007496417995,10.0,0.0033677007496417995,0.0033677007496417995,0.0033677007496417995,2.1016530687695502e-34,1.98,success,,0,v1-unit-0.3,False
-0.275,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.0035603144667893513,10.0,0.0035603144667893513,0.0035603144667893513,0.0035603144667893513,1.655671362835549e-34,2.32,success,,0,v1-unit-0.3,False
-0.25,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.0037403461622724566,10.0,0.0037403461622724566,0.0037403461622724566,0.0037403461622724566,1.972609231564434e-34,2.71,success,,0,v1-unit-0.3,False
-0.22499999999999998,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.003906628899421514,10.0,0.003906628899421514,0.003906628899421514,0.003906628899421514,2.34112357333739e-34,2.94,success,,0,v1-unit-0.3,False
-0.19999999999999996,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.0040581214661243184,10.0,0.0040581214661243184,0.0040581214661243184,0.0040581214661243184,2.3727911228665995e-34,3.97,success,,0,v1-unit-0.3,False
-0.175,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.004193903948022246,10.0,0.004193903948022246,0.004193903948022246,0.004193903948022246,2.6568342265255564e-34,2.72,success,,0,v1-unit-0.3,False
-0.14999999999999997,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.0043131737942878005,10.0,0.0043131737942878005,0.0043131737942878005,0.0043131737942878005,3.025653379295904e-34,4.44,success,,0,v1-unit-0.3,False
-0.125,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.004415242367091761,10.0,0.004415242367091761,0.004415242367091761,0.004415242367091761,4.255134600166422e-34,2.04,success,,0,v1-unit-0.3,False
-0.09999999999999998,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.004499531966928761,10.0,0.004499531966928761,0.004499531966928761,0.004499531966928761,5.42684593399896e-34,5.3,success,,0,v1-unit-0.3,False
-0.07499999999999996,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.004565573327025052,10.0,0.004565573327025052,0.004565573327025052,0.004565573327025052,6.827813819042264e-34,3.52,success,,0,v1-unit-0.3,False
-0.04999999999999999,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.004613003571102486,10.0,0.004613003571102486,0.004613003571102486,0.004613003571102486,1.028296926762878e-33,3.08,success,,0,v1-unit-0.3,False
-0.024999999999999967,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.004641564629819294,10.0,0.004641564629819294,0.004641564629819294,0.004641564629819294,3.4381280534945274e-33,3.31,success,,0,v1-unit-0.3,False
0.0,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.00465110211225145,10.0,0.00465110211225145,0.00465110211225145,0.00465110211225145,2.9484600625991936e-33,2.0,success,,0,v1-unit-0.3,False
0.025000000000000022,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.004641564629819294,10.0,0.004641564629819294,0.004641564629819294,0.004641564629819294,3.4381280534945274e-33,1.78,success,,0,v1-unit-0.3,False
0.050000000000000044,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.004613003571102485,10.0,0.004613003571102485,0.004613003571102485,0.004613003571102485,1.038695435526857e-33,1.73,success,,0,v1-unit-0.3,False
0.07500000000000007,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.004565573327025054,10.0,0.004565573327025054,0.004565573327025054,0.004565573327025054,6.8152422180510695e-34,2.86,success,,0,v1-unit-0.3,False
0.10000000000000009,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.004499531966928761,10.0,0.004499531966928761,0.004499531966928761,0.004499531966928761,5.42684593399896e-34,2.63,success,,0,v1-unit-0.3,False
0.125,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.004415242367091761,10.0,0.004415242367091761,0.004415242367091761,0.004415242367091761,4.255134600166422e-34,2.43,success,,0,v1-unit-0.3,False
0.15000000000000002,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.0043131737942878005,10.0,0.0043131737942878005,0.0043131737942878005,0.0043131737942878005,3.025653379295904e-34,3.15,success,,0,v1-unit-0.3,False
0.17500000000000004,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.004193903948022246,10.0,0.004193903948022246,0.004193903948022246,0.004193903948022246,2.6568342265255564e-34,3.34,success,,0,v1-unit-0.3,False
0.20000000000000007,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.004058121466124317,10.0,0.004058121466124317,0.004058121466124317,0.004058121466124317,2.0112599564757305e-34,5.12,success,,0,v1-unit-0.3,False
0.2250000000000001,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.003906628899421514,10.0,0.003906628899421514,0.003906628899421514,0.003906628899421514,2.34112357333739e-34,4.07,success,,0,v1-unit-0.3,False
0.25,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.0037403461622724566,10.0,0.0037403461622724566,0.0037403461622724566,0.0037403461622724566,1.972609231564434e-34,2.78,success,,0,v1-unit-0.3,False
0.275,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.0035603144667893513,10.0,0.0035603144667893513,0.0035603144667893513,0.0035603144667893513,1.655671362835549e-34,3.21,success,,0,v1-unit-0.3,False
0.30000000000000004,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.0033677007496417995,10.0,0.0033677007496417995,0.0033677007496417995,0.0033677007496417995,2.1016530687695502e-34,3.39,success,,0,v1-unit-0.3,False
0.32500000000000007,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.0031638026013994743,10.0,0.0031638026013994743,0.0031638026013994743,0.0031638026013994743,9.374848267612892e-35,2.09,success,,0,v1-unit-0.3,False
0.3500000000000001,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.0029500537094442887,10.0,0.0029500537094442887,0.0029500537094442887,0.0029500537094442887,9.984274055130433e-35,2.98,success,,0,v1-unit-0.3,False
0.375,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.002728029826562404,10.0,0.002728029826562404,0.002728029826562404,0.002728029826562404,6.820286328696424e-35,2.63,success,,0,v1-unit-0.3,False
0.4,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.002499455278414347,10.0,0.002499455278414347,0.002499455278414347,0.002499455278414347,6.697428855541451e-35,1.91,success,,0,v1-unit-0.3,False
0.42500000000000004,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.002266210024177303,10.0,0.002266210024177303,0.002266210024177303,0.002266210024177303,5.241067115294187e-35,1.97,success,,0,v1-unit-0.3,False
0.45000000000000007,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.002030337285758847,10.0,0.002030337285758847,0.002030337285758847,0.002030337285758847,4.2938132150041303e-35,1.78,success,,0,v1-unit-0.3,False
0.4750000000000001,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.0017940517620955577,10.0,0.0017940517620955577,0.0017940517620955577,0.0017940517620955577,2.815115165702106e-35,1.6,success,,0,v1-unit-0.3,False
0.5,1.0,0.01,0.0,-0.6,0.5,256,10.0,auto,auto,periodic,0.001559748446174222,10.0,0.001559748446174222,0.001559748446174222,0.001559748446174222,3.345418026284021e-35,1.56,success,,0,v1-unit-0.3,False
