delta1,kappa,B0,alpha1,alpha2,alpha3,grid_shape,t_end,dt,scheme,bc,P_max,P_max_time,P_final,P_asymptotic,P_transmitted,P_reflected,wall_time_s,run_status,error_message,solver_exit_code,stability_profile,borderline_stability
-0.5,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.006017794502192679,20.0,0.006017794502192679,0.006017794502192679,0.006017794502192679,1.6342282837691542e-34,2.58,success,,0,v1-unit-0.3,False
-0.475,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.0068266796613324,20.0,0.0068266796613324,0.0068266796613324,0.0068266796613324,1.4067224456174873e-34,2.59,success,,0,v1-unit-0.3,False
-0.45,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.007624851509032006,20.0,0.007624851509032006,0.007624851509032006,0.007624851509032006,1.9222207409446548e-34,2.91,success,,0,v1-unit-0.3,False
-0.425,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.008405254441767105,20.0,0.008405254441767105,0.008405254441767105,0.008405254441767105,3.0248445148983813e-34,3.39,success,,0,v1-unit-0.3,False
-0.4,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.009161873200076037,20.0,0.009161873200076037,0.009161873200076037,0.009161873200076037,2.342714351466183e-34,3.23,success,,0,v1-unit-0.3,False
-0.375,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.00988959674383298,20.0,0.00988959674383298,0.00988959674383298,0.00988959674383298,1.5224128534089388e-34,6.11,success,,0,v1-unit-0.3,False
-0.35,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.010584097944960529,20.0,0.010584097944960529,0.010584097944960529,0.010584097944960529,2.2760092270050944e-34,4.18,success,,0,v1-unit-0.3,False
-0.32499999999999996,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.011241727457115207,20.0,0.011241727457115207,0.011241727457115207,0.011241727457115207,1.8448378500402921e-34,4.03,success,,0,v1-unit-0.3,False
-0.3,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.01185942029161013,20.0,0.01185942029161013,0.01185942029161013,0.01185942029161013,2.2242139975300233e-34,2.04,success,,0,v1-unit-0.3,False
-0.275,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.012434613784016859,20.0,0.012434613784016859,0.012434613784016859,0.012434613784016859,2.877470827859186e-34,3.44,success,,0,v1-unit-0.3,False
-0.25,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.012965175777905933,20.0,0.012965175777905933,0.012965175777905933,0.012965175777905933,2.7560971835128096e-34,6.98,success,,0,v1-unit-0.3,False
-0.22499999999999998,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.013449341982340298,20.0,0.013449341982340298,0.013449341982340298,0.013449341982340298,2.727708213520008e-34,6.51,success,,0,v1-unit-0.3,False
-0.19999999999999996,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.013885661579234146,20.0,0.013885661579234146,0.013885661579234146,0.013885661579234146,3.722418446507971e-34,2.76,success,,0,v1-unit-0.3,False
