anchor_id,beta1,beta2,beta3,xi,zeta1,max_excess,stable
P1,-0.1000,-1.5500,0.9600,1.85000,-10,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-7.4989421,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-5.6234133,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-4.216965,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-3.1622777,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-2.3713737,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-1.7782794,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-1.3335214,1.14407,0
P1,-0.1000,-1.5500,0.9600,1.85000,-1,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.74989421,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.56234133,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.4216965,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.31622777,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.23713737,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.17782794,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.13335214,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.1,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.074989421,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.056234133,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.04216965,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.031622777,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.023713737,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.017782794,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.013335214,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.01,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.0074989421,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.0056234133,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.004216965,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.0031622777,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.0023713737,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.0017782794,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.0013335214,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.001,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.00074989421,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.00056234133,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.0004216965,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.00031622777,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.00023713737,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.00017782794,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.00013335214,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,-0.0001,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,0,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,0.0001,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,0.00013335214,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,0.00017782794,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,0.00023713737,0.100765,1
P1,-0.1000,-1.5500,0.9600,1.85000,0.00031622777,0.100765,1
