zeta1,zeta3,max_excess,stable
-0.1,-0.1,1.73577e-06,1
-0.1,-0.05,1.74357e-06,1
-0.1,0,0.100765,1
-0.1,0.05,1.74357e-06,1
-0.1,0.1,1.73577e-06,1
-0.05,-0.1,1.73577e-06,1
-0.05,-0.05,1.74357e-06,1
-0.05,0,0.100765,1
-0.05,0.05,1.74357e-06,1
-0.05,0.1,1.73577e-06,1
0,-0.1,1.73577e-06,1
0,-0.05,1.74357e-06,1
0,0,0.100765,1
0,0.05,1.74357e-06,1
0,0.1,1.73577e-06,1
0.05,-0.1,1.73577e-06,1
0.05,-0.05,1.74357e-06,1
0.05,0,0.100765,1
0.05,0.05,1.74357e-06,1
0.05,0.1,1.73577e-06,1
0.1,-0.1,1.73577e-06,1
0.1,-0.05,1.74357e-06,1
0.1,0,0.100765,1
0.1,0.05,1.74357e-06,1
0.1,0.1,1.73577e-06,1
