delta1,alpha2,kappa,B0,alpha1,alpha3,grid_shape,t_end,dt,scheme,bc,error,run_status,error_message,solver_exit_code,P_max,P_max_time,P_final,wall_time_s
-1.0,-3.0,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=5.356e+00 predicts growth factor 2.00e+116 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=5.356e+00 predicts growth factor 2.00e+116 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
-1.0,-2.8684210526315788,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=2.221e+00 predicts growth factor 1.70e+48 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=2.221e+00 predicts growth factor 1.70e+48 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
-1.0,-2.736842105263158,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=5.132e+00 predicts growth factor 2.76e+111 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=5.132e+00 predicts growth factor 2.76e+111 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
-1.0,-2.6052631578947367,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=1.955e+00 predicts growth factor 2.80e+42 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=1.955e+00 predicts growth factor 2.80e+42 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
-1.0,-2.473684210526316,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.004e+00 predicts growth factor 1.70e+65 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.004e+00 predicts growth factor 1.70e+65 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
-1.0,-2.3421052631578947,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=1.532e+00 predicts growth factor 1.88e+33 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=1.532e+00 predicts growth factor 1.88e+33 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
-1.0,-2.2105263157894735,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=1.693e+00 predicts growth factor 5.68e+36 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=1.693e+00 predicts growth factor 5.68e+36 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
-1.0,-2.0789473684210527,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=1.788e+00 predicts growth factor 6.56e+38 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=1.788e+00 predicts growth factor 6.56e+38 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
-1.0,-1.9473684210526316,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=1.538e+00 predicts growth factor 2.51e+33 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=1.538e+00 predicts growth factor 2.51e+33 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
-1.0,-1.8157894736842106,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=9.636e-01 predicts growth factor 8.39e+20 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=9.636e-01 predicts growth factor 8.39e+20 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
-1.0,-1.6842105263157896,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=4.827e-01 predicts growth factor 3.03e+10 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=4.827e-01 predicts growth factor 3.03e+10 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
-1.0,-1.5526315789473686,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=4.257e-01 predicts growth factor 1.75e+09 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=4.257e-01 predicts growth factor 1.75e+09 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
-1.0,-1.4210526315789473,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=4.096e-01 predicts growth factor 7.84e+08 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=4.096e-01 predicts growth factor 7.84e+08 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
-1.0,-1.2894736842105263,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.935e-01 predicts growth factor 3.51e+08 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.935e-01 predicts growth factor 3.51e+08 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
-1.0,-1.1578947368421053,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.709e-01 predicts growth factor 1.13e+08 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.709e-01 predicts growth factor 1.13e+08 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
-1.0,-1.0263157894736843,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,,success,,0,12265.684687790477,50.0,12265.684687790477,1.33
-1.0,-0.8947368421052633,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,,success,,0,248.34797372252729,50.0,248.34797372252729,1.09
-1.0,-0.763157894736842,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,,success,,0,5.965675054969706,50.0,5.965675054969706,1.06
-1.0,-0.6315789473684212,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,,success,,0,0.16343884520097868,50.0,0.16343884520097868,1.09
-1.0,-0.5,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,,success,,0,0.0049655246081489485,50.0,0.0049655246081489485,1.28
-0.9310344827586207,-3.0,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=2.764e+00 predicts growth factor 1.03e+60 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=2.764e+00 predicts growth factor 1.03e+60 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
-0.9310344827586207,-2.8684210526315788,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=1.849e+00 predicts growth factor 1.39e+40 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=1.849e+00 predicts growth factor 1.39e+40 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
-0.9310344827586207,-2.736842105263158,1.0,0.001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=2.384e+00 predicts growth factor 5.75e+51 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=2.384e+00 predicts growth factor 5.75e+51 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
