delta1,alpha2,kappa,B0,alpha1,alpha3,grid_shape,t_end,dt,scheme,bc,error,run_status,error_message,solver_exit_code,P_max,P_max_time,P_final,wall_time_s,C0,A,log10_A,P_valid
-1.0,-3.0,1.0,0.0001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=5.356e+00 predicts growth factor 2.00e+116 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=5.356e+00 predicts growth factor 2.00e+116 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,,,,,false
-1.0,-2.935897435897436,1.0,0.0001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=2.956e+00 predicts growth factor 1.52e+64 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=2.956e+00 predicts growth factor 1.52e+64 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,,,,,false
-1.0,-2.871794871794872,1.0,0.0001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=2.246e+00 predicts growth factor 6.00e+48 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=2.246e+00 predicts growth factor 6.00e+48 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,,,,,false
-1.0,-2.8076923076923075,1.0,0.0001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=1.869e+00 predicts growth factor 3.81e+40 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=1.869e+00 predicts growth factor 3.81e+40 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,,,,,false
-1.0,-2.7435897435897436,1.0,0.0001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=6.071e+00 predicts growth factor 6.75e+131 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=6.071e+00 predicts growth factor 6.75e+131 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,,,,,false
-1.0,-2.6794871794871797,1.0,0.0001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=2.747e+00 predicts growth factor 4.50e+59 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=2.747e+00 predicts growth factor 4.50e+59 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,,,,,false
-1.0,-2.6153846153846154,1.0,0.0001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=2.026e+00 predicts growth factor 9.90e+43 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=2.026e+00 predicts growth factor 9.90e+43 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,,,,,false
-1.0,-2.551282051282051,1.0,0.0001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=1.665e+00 predicts growth factor 1.40e+36 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=1.665e+00 predicts growth factor 1.40e+36 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,,,,,false
-1.0,-2.4871794871794872,1.0,0.0001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.525e+00 predicts growth factor 3.44e+76 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.525e+00 predicts growth factor 3.44e+76 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,,,,,false
-1.0,-2.4230769230769234,1.0,0.0001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=2.096e+00 predicts growth factor 3.21e+45 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=2.096e+00 predicts growth factor 3.21e+45 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,,,,,false
-1.0,-2.358974358974359,1.0,0.0001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=1.615e+00 predicts growth factor 1.17e+35 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=1.615e+00 predicts growth factor 1.17e+35 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,,,,,false
-1.0,-2.2948717948717947,1.0,0.0001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.688e+00 predicts growth factor 1.23e+80 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.688e+00 predicts growth factor 1.23e+80 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,,,,,false
-1.0,-2.230769230769231,1.0,0.0001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=1.886e+00 predicts growth factor 9.21e+40 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=1.886e+00 predicts growth factor 9.21e+40 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,,,,,false
-1.0,-2.166666666666667,1.0,0.0001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=1.413e+00 predicts growth factor 4.79e+30 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=1.413e+00 predicts growth factor 4.79e+30 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,,,,,false
-1.0,-2.1025641025641026,1.0,0.0001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=2.245e+00 predicts growth factor 5.50e+48 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=2.245e+00 predicts growth factor 5.50e+48 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,,,,,false
-1.0,-2.0384615384615383,1.0,0.0001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=1.393e+00 predicts growth factor 1.79e+30 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=1.393e+00 predicts growth factor 1.79e+30 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,,,,,false
-1.0,-1.9743589743589745,1.0,0.0001,0.0,1.0,256,50.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=2.164e+00 predicts growth factor 9.72e+46 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=2.164e+00 predicts growth factor 9.72e+46 over Δt=50.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,,,,,false
