delta1,alpha3,kappa,B0,alpha1,alpha2,grid_shape,t_end,dt,scheme,bc,P_max,P_max_time,P_final,wall_time_s,run_status,error_message,solver_exit_code,C0,A,log10_A,P_valid
-1.0,0.0,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.0007006472860212627,50.0,0.0007006472860212627,1.61,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,0.2631578947368421,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.0007006472860212366,50.0,0.0007006472860212366,1.39,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,0.5263157894736842,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.000700647286021244,50.0,0.000700647286021244,1.16,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,0.7894736842105263,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.0007006472860212396,50.0,0.0007006472860212396,1.37,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,1.0526315789473684,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.0007006472860211163,50.0,0.0007006472860211163,1.56,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,1.3157894736842104,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.0007006472860211888,50.0,0.0007006472860211888,1.51,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,1.5789473684210527,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.0007006472860212544,50.0,0.0007006472860212544,1.31,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,1.8421052631578947,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.0007006472860212563,50.0,0.0007006472860212563,1.39,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,2.1052631578947367,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.0007006472860212548,50.0,0.0007006472860212548,1.61,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,2.3684210526315788,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.0007006472860212577,50.0,0.0007006472860212577,1.31,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,2.631578947368421,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.0007006472860212525,50.0,0.0007006472860212525,1.38,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,2.894736842105263,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.0007006472860212491,50.0,0.0007006472860212491,1.22,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,3.1578947368421053,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.0007006472860212577,50.0,0.0007006472860212577,1.06,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,3.4210526315789473,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.0007006472860212449,50.0,0.0007006472860212449,1.41,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,3.6842105263157894,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.0007006472860212563,50.0,0.0007006472860212563,1.45,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,3.9473684210526314,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.0007006472860212516,50.0,0.0007006472860212516,1.5,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,4.2105263157894735,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.0007006472860212368,50.0,0.0007006472860212368,1.28,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,4.473684210526316,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.0007006472860212573,50.0,0.0007006472860212573,1.53,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,4.7368421052631575,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.0007006472860212292,50.0,0.0007006472860212292,1.36,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-1.0,5.0,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,0.00070064728602123,50.0,0.00070064728602123,1.34,success,,0,7.0065e+04,1.121038e+02,2.0496,true
-0.9310344827586207,0.0,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.742733394647655e-06,50.0,6.742733394647655e-06,1.32,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,0.2631578947368421,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.742733394647491e-06,50.0,6.742733394647491e-06,1.27,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,0.5263157894736842,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.742733394647593e-06,50.0,6.742733394647593e-06,1.25,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,0.7894736842105263,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.742733394647585e-06,50.0,6.742733394647585e-06,1.24,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,1.0526315789473684,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.7427333946463535e-06,50.0,6.7427333946463535e-06,1.24,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,1.3157894736842104,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.742733394647325e-06,50.0,6.742733394647325e-06,1.23,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,1.5789473684210527,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.742733394647659e-06,50.0,6.742733394647659e-06,2.02,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,1.8421052631578947,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.742733394647763e-06,50.0,6.742733394647763e-06,1.21,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,2.1052631578947367,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.742733394647655e-06,50.0,6.742733394647655e-06,1.19,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,2.3684210526315788,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.7427333946476554e-06,50.0,6.7427333946476554e-06,1.29,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,2.631578947368421,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.742733394647791e-06,50.0,6.742733394647791e-06,1.36,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,2.894736842105263,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.742733394647722e-06,50.0,6.742733394647722e-06,1.34,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,3.1578947368421053,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.742733394647777e-06,50.0,6.742733394647777e-06,1.17,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,3.4210526315789473,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.742733394647575e-06,50.0,6.742733394647575e-06,1.13,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,3.6842105263157894,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.7427333946476664e-06,50.0,6.7427333946476664e-06,1.09,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,3.9473684210526314,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.742733394647802e-06,50.0,6.742733394647802e-06,1.12,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,4.2105263157894735,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.7427333946474996e-06,50.0,6.7427333946474996e-06,1.1,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,4.473684210526316,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.742733394647763e-06,50.0,6.742733394647763e-06,1.2,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,4.7368421052631575,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.742733394647559e-06,50.0,6.742733394647559e-06,1.24,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.9310344827586207,5.0,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,6.742733394647546e-06,50.0,6.742733394647546e-06,1.17,success,,0,6.7427e+02,1.078840e+00,0.0330,true
-0.8620689655172413,0.0,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.466096599352901e-08,50.0,2.466096599352901e-08,1.23,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,0.2631578947368421,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.466096599352987e-08,50.0,2.466096599352987e-08,1.16,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,0.5263157894736842,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.466096599352719e-08,50.0,2.466096599352719e-08,1.48,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,0.7894736842105263,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.4660965993524335e-08,50.0,2.4660965993524335e-08,1.38,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,1.0526315789473684,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.4660965993522144e-08,50.0,2.4660965993522144e-08,1.46,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,1.3157894736842104,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.4660965993525066e-08,50.0,2.4660965993525066e-08,1.49,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,1.5789473684210527,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.4660965993529092e-08,50.0,2.4660965993529092e-08,1.29,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,1.8421052631578947,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.466096599352769e-08,50.0,2.466096599352769e-08,1.28,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,2.1052631578947367,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.4660965993527266e-08,50.0,2.4660965993527266e-08,1.38,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,2.3684210526315788,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.4660965993527253e-08,50.0,2.4660965993527253e-08,1.25,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,2.631578947368421,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.466096599352901e-08,50.0,2.466096599352901e-08,1.21,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,2.894736842105263,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.466096599352733e-08,50.0,2.466096599352733e-08,1.24,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,3.1578947368421053,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.466096599352901e-08,50.0,2.466096599352901e-08,1.28,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,3.4210526315789473,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.4660965993529466e-08,50.0,2.4660965993529466e-08,1.37,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,3.6842105263157894,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.466096599352737e-08,50.0,2.466096599352737e-08,1.49,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,3.9473684210526314,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.466096599352896e-08,50.0,2.466096599352896e-08,1.72,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,4.2105263157894735,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.4660965993525698e-08,50.0,2.4660965993525698e-08,1.21,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,4.473684210526316,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.4660965993528805e-08,50.0,2.4660965993528805e-08,1.62,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,4.7368421052631575,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.4660965993531213e-08,50.0,2.4660965993531213e-08,1.46,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.8620689655172413,5.0,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,2.4660965993527743e-08,50.0,2.4660965993527743e-08,2.05,success,,0,2.4661e+00,3.945763e-03,-2.4039,true
-0.7931034482758621,0.0,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,3.014993044568794e-11,50.0,3.014993044568794e-11,1.25,success,,0,3.0150e-03,4.823999e-06,-5.3166,true
-0.7931034482758621,0.2631578947368421,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,3.01499304457556e-11,50.0,3.01499304457556e-11,1.17,success,,0,3.0150e-03,4.823999e-06,-5.3166,true
-0.7931034482758621,0.5263157894736842,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,3.0149930445621996e-11,50.0,3.0149930445621996e-11,1.25,success,,0,3.0150e-03,4.823999e-06,-5.3166,true
-0.7931034482758621,0.7894736842105263,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,3.014993044585893e-11,50.0,3.014993044585893e-11,1.33,success,,0,3.0150e-03,4.823999e-06,-5.3166,true
-0.7931034482758621,1.0526315789473684,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,3.014993044583739e-11,50.0,3.014993044583739e-11,1.39,success,,0,3.0150e-03,4.823999e-06,-5.3166,true
-0.7931034482758621,1.3157894736842104,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,3.014993044570617e-11,50.0,3.014993044570617e-11,1.23,success,,0,3.0150e-03,4.823999e-06,-5.3166,true
-0.7931034482758621,1.5789473684210527,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,3.014993044562224e-11,50.0,3.014993044562224e-11,1.21,success,,0,3.0150e-03,4.823999e-06,-5.3166,true
-0.7931034482758621,1.8421052631578947,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,3.014993044576279e-11,50.0,3.014993044576279e-11,1.21,success,,0,3.0150e-03,4.823999e-06,-5.3166,true
-0.7931034482758621,2.1052631578947367,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,3.0149930445630216e-11,50.0,3.0149930445630216e-11,1.2,success,,0,3.0150e-03,4.823999e-06,-5.3166,true
-0.7931034482758621,2.3684210526315788,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,3.0149930445703033e-11,50.0,3.0149930445703033e-11,1.29,success,,0,3.0150e-03,4.823999e-06,-5.3166,true
-0.7931034482758621,2.631578947368421,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,3.0149930445681423e-11,50.0,3.0149930445681423e-11,1.47,success,,0,3.0150e-03,4.823999e-06,-5.3166,true
-0.7931034482758621,2.894736842105263,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,3.014993044567422e-11,50.0,3.014993044567422e-11,1.63,success,,0,3.0150e-03,4.823999e-06,-5.3166,true
-0.7931034482758621,3.1578947368421053,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,3.0149930445866944e-11,50.0,3.0149930445866944e-11,1.96,success,,0,3.0150e-03,4.823999e-06,-5.3166,true
