delta1,kappa,B0,alpha1,alpha2,alpha3,grid_shape,t_end,dt,scheme,bc,P_max,P_max_time,P_final,wall_time_s,run_status,error_message,solver_exit_code
-1.0,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,6.951267788633965,50.0,6.951267788633965,1.44,success,,0
-0.9487179487179487,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.23893223431508415,50.0,0.23893223431508415,1.06,success,,0
-0.8974358974358975,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.00498824381551653,50.0,0.00498824381551653,1.21,success,,0
-0.8461538461538461,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,5.700304772852345e-05,50.0,5.700304772852345e-05,1.27,success,,0
-0.7948717948717949,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,3.604488466269011e-07,50.0,3.604488466269011e-07,1.33,success,,0
-0.7435897435897436,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,1.4695352397326165e-08,43.0,1.425036015416728e-08,1.74,success,,0
-0.6923076923076923,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,2.7186677495820974e-07,43.0,1.843851144103624e-07,1.85,success,,0
-0.641025641025641,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,9.67959499678989e-07,44.5,3.792271158850497e-07,1.22,success,,0
-0.5897435897435898,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,2.369315136104046e-06,46.0,9.536064191165609e-07,1.62,success,,0
-0.5384615384615385,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,4.951999206414752e-06,47.5,3.8075191060665497e-06,1.21,success,,0
-0.4871794871794872,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,9.305812222455815e-06,40.0,9.26615918464789e-06,1.17,success,,0
-0.4358974358974359,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,1.8339610503762366e-05,41.5,7.673363677562899e-06,1.1,success,,0
-0.3846153846153846,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,3.6447417655337044e-05,46.0,1.4312449273177486e-05,1.41,success,,0
-0.33333333333333337,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,7.24325439603068e-05,36.5,6.606363550676864e-05,1.28,success,,0
-0.28205128205128205,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.00015800695811915536,43.0,3.029004925815019e-05,1.38,success,,0
-0.23076923076923084,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.0003782030084224002,32.0,0.0002580330287715097,1.08,success,,0
-0.17948717948717952,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.0011110174044600305,15.0,0.0009213586105609013,1.07,success,,0
-0.1282051282051282,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.0044756284866660076,26.0,0.0001786021278183925,1.09,success,,0
-0.07692307692307698,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.030882464653018804,50.0,0.030882464653018804,1.33,success,,0
-0.02564102564102566,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.05957040920890101,50.0,0.05957040920890101,1.06,success,,0
0.02564102564102555,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.059570409208884546,50.0,0.059570409208884546,1.2,success,,0
0.07692307692307687,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.030882464653019647,50.0,0.030882464653019647,1.27,success,,0
0.1282051282051282,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.0044756284866660076,26.0,0.0001786021278183925,1.07,success,,0
0.17948717948717952,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.0011110174044600305,15.0,0.0009213586105609013,1.65,success,,0
0.23076923076923084,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.0003782030084224002,32.0,0.0002580330287715097,1.15,success,,0
0.28205128205128194,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.00015800695811913671,43.0,3.0290049258147596e-05,1.33,success,,0
0.33333333333333326,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,7.24325439602944e-05,36.5,6.606363550675728e-05,1.32,success,,0
0.3846153846153846,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,3.6447417655337044e-05,46.0,1.4312449273177486e-05,1.27,success,,0
0.4358974358974359,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,1.8339610503762366e-05,41.5,7.673363677562899e-06,1.31,success,,0
0.4871794871794872,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,9.305812222455815e-06,40.0,9.26615918464789e-06,1.05,success,,0
0.5384615384615383,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,4.9519992064136825e-06,47.5,3.807519106065828e-06,1.1,success,,0
0.5897435897435896,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,2.3693151361033158e-06,46.0,9.536064191164282e-07,1.11,success,,0
0.641025641025641,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,9.67959499678989e-07,44.5,3.792271158850497e-07,1.03,success,,0
0.6923076923076923,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,2.7186677495820974e-07,43.0,1.843851144103624e-07,1.07,success,,0
0.7435897435897436,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,1.4695352397326165e-08,43.0,1.425036015416728e-08,1.09,success,,0
0.7948717948717947,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,3.604488466268226e-07,50.0,3.604488466268226e-07,1.17,success,,0
0.846153846153846,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,5.700304772852047e-05,50.0,5.700304772852047e-05,1.87,success,,0
0.8974358974358974,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.0049882438155178285,50.0,0.0049882438155178285,1.23,success,,0
0.9487179487179487,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.23893223431508415,50.0,0.23893223431508415,1.33,success,,0
1.0,1.0,0.01,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,6.951267788633965,50.0,6.951267788633965,1.29,success,,0
