delta1,kappa,B0,alpha1,alpha2,alpha3,grid_shape,t_end,dt,scheme,bc,P_max,P_max_time,P_final,wall_time_s,run_status,error_message,solver_exit_code
0.85,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,8.212455979113992e-07,50.0,8.212455979113992e-07,1.8,success,,0
0.8551724137931034,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,1.3214526530463774e-06,50.0,1.3214526530463774e-06,1.46,success,,0
0.8603448275862069,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,2.112188055773543e-06,50.0,2.112188055773543e-06,1.46,success,,0
0.8655172413793103,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,3.353511882214332e-06,50.0,3.353511882214332e-06,1.35,success,,0
0.8706896551724138,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,5.2888022689052515e-06,50.0,5.2888022689052515e-06,1.28,success,,0
0.8758620689655172,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,8.285596659169342e-06,50.0,8.285596659169342e-06,1.28,success,,0
0.8810344827586207,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,1.2895219825586585e-05,50.0,1.2895219825586585e-05,1.35,success,,0
0.8862068965517241,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,1.9939276635697436e-05,50.0,1.9939276635697436e-05,1.33,success,,0
0.8913793103448275,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,3.06343195044487e-05,50.0,3.06343195044487e-05,1.53,success,,0
0.896551724137931,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,4.677042910750049e-05,50.0,4.677042910750049e-05,1.11,success,,0
0.9017241379310345,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,7.096547945812763e-05,50.0,7.096547945812763e-05,1.18,success,,0
0.906896551724138,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.00010702502840806008,50.0,0.00010702502840806008,1.25,success,,0
0.9120689655172414,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.00016044877710906028,50.0,0.00016044877710906028,1.48,success,,0
0.9172413793103448,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.00023913927762728588,50.0,0.00023913927762728588,1.34,success,,0
0.9224137931034483,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.00035438819756866664,50.0,0.00035438819756866664,1.07,success,,0
0.9275862068965517,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.0005222414626787983,50.0,0.0005222414626787983,1.11,success,,0
0.9327586206896552,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.0007653788917238244,50.0,0.0007653788917238244,1.49,success,,0
0.9379310344827586,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.0011156889229306803,50.0,0.0011156889229306803,1.04,success,,0
0.943103448275862,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.0016177777528423472,50.0,0.0016177777528423472,1.53,success,,0
0.9482758620689655,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.002333728495203831,50.0,0.002333728495203831,1.34,success,,0
0.9534482758620689,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.003349524610963489,50.0,0.003349524610963489,1.51,success,,0
0.9586206896551724,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.004783678830356688,50.0,0.004783678830356688,1.42,success,,0
0.9637931034482758,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.006798771489125333,50.0,0.006798771489125333,1.14,success,,0
0.9689655172413794,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.00961680977831352,50.0,0.00961680977831352,1.07,success,,0
0.9741379310344828,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.013539583107837951,50.0,0.013539583107837951,1.07,success,,0
0.9793103448275862,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.018975523382786484,50.0,0.018975523382786484,1.13,success,,0
0.9844827586206897,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.026474999290738675,50.0,0.026474999290738675,1.3,success,,0
0.9896551724137931,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.036776501112689416,50.0,0.036776501112689416,1.32,success,,0
0.9948275862068965,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.05086683180690884,50.0,0.05086683180690884,1.32,success,,0
1.0,1.0,0.001,0.0,-0.6,0.5,256,50.0,auto,auto,periodic,0.07005924096313394,50.0,0.07005924096313394,1.27,success,,0
