sample_index,sim_verdict,gamma_eff_t20
391,sim_non_perturbative,0.2718973440925251
669,sim_perturbative,0.10097553952737319
683,sim_perturbative,0.10097582798714107
746,sim_perturbative,0.10097760764106342
768,sim_perturbative,0.10097810283583615
792,sim_perturbative,0.10097866251514231
818,sim_perturbative,0.10097943793983766
832,sim_perturbative,0.10097974373677479
876,sim_perturbative,0.10098037977362836
886,sim_perturbative,0.10098061609004838
906,sim_perturbative,0.1009808359803451
919,sim_perturbative,0.1009811460868548
930,sim_perturbative,0.10098133361383613
942,sim_perturbative,0.10098144819874037
957,sim_perturbative,0.10098162881176623
958,sim_perturbative,0.10098162963600674
984,sim_perturbative,0.10098189915861763
1007,sim_perturbative,0.10098225166815152
1008,sim_perturbative,0.10098227093013326
1033,sim_perturbative,0.10098258697689304
1035,sim_perturbative,0.10098260172252968
1043,sim_perturbative,0.10098269489623317
1070,sim_perturbative,0.10098298715376333
1095,sim_perturbative,0.10098326250788943
1096,sim_perturbative,0.10098326827861652
1105,sim_perturbative,0.10098338339164903
1114,sim_perturbative,0.10098354440819221
1126,sim_perturbative,0.10098370330111081
1128,sim_perturbative,0.10098371609779755
1146,sim_perturbative,0.10098390596911752
1152,sim_perturbative,0.10098396549653321
1169,sim_perturbative,0.10098416330053601
1173,sim_perturbative,0.10098419152155431
1175,sim_perturbative,0.10098420759345375
1186,sim_perturbative,0.10098435255605002
1195,sim_perturbative,0.10098444666547446
1202,sim_perturbative,0.1009845323492464
1205,sim_perturbative,0.1009846115110391
1219,sim_perturbative,0.10098475343069777
1229,sim_perturbative,0.10098498073647602
1238,sim_perturbative,0.10098514706242281
1261,sim_perturbative,0.10098560100011708
1262,sim_perturbative,0.1009856059192769
1272,sim_perturbative,0.10098574511807357
1275,sim_perturbative,0.10098575578279426
1302,sim_perturbative,0.10098621221496822
1306,sim_perturbative,0.10098629093972203
1318,sim_perturbative,0.10098644921611935
1321,sim_perturbative,0.10098650036295911
1350,sim_perturbative,0.10098736750148654
1360,sim_perturbative,0.10098765119231468
1377,sim_perturbative,0.10098799633272586
1392,sim_perturbative,0.10098805328594121
1402,sim_perturbative,0.10098828277073771
1408,sim_perturbative,0.10098858148873473
1411,sim_perturbative,0.10098875224102762
1418,sim_perturbative,0.10098886435943977
1428,sim_perturbative,0.10098902242963988
1443,sim_perturbative,0.10098930776516897
1447,sim_perturbative,0.10098937873823817
1475,sim_perturbative,0.10099113875019772
1477,sim_perturbative,0.10099149493885458
1495,sim_perturbative,0.10099266987933031
1499,sim_perturbative,0.10099267281018369
1536,sim_perturbative,0.10099354122317857
1552,sim_perturbative,0.10099516000442621
1564,sim_perturbative,0.10099566552357578
1565,sim_perturbative,0.10099569207678871
1573,sim_perturbative,0.1009960401948667
1616,sim_perturbative,0.10099890894035117
1673,sim_perturbative,0.10100673328000694
1676,sim_perturbative,0.10100641860807288
1696,sim_perturbative,0.1010046515660414
1735,sim_perturbative,0.10100826967208613
1742,sim_perturbative,0.10101113114748542
1759,sim_perturbative,0.1010255480384347
1785,sim_perturbative,0.10103508555315108
1859,sim_perturbative,0.10099710257832026
1877,sim_perturbative,0.10098041424295057
1879,sim_perturbative,0.10097847497765078
1926,sim_perturbative,0.10091574871014304
1978,sim_perturbative,0.10084924664494666
1979,sim_perturbative,0.1008490869089356
1981,sim_perturbative,0.10084702832456487
2088,sim_perturbative,0.10078132992618564
2174,sim_perturbative,0.10076759454452378
2176,sim_perturbative,0.10076755456163725
2209,sim_perturbative,0.10076592291502154
2223,sim_perturbative,0.10076536307639254
2230,sim_perturbative,0.10076519845130434
2287,sim_perturbative,0.10079260029677536
2349,sim_perturbative,0.10095453894293871
2406,sim_perturbative,0.10097396227225006
2436,sim_perturbative,0.10097418253442603
2574,sim_non_perturbative,inf
2647,sim_non_perturbative,inf
2808,sim_non_perturbative,inf
2816,sim_non_perturbative,inf
3308,sim_non_perturbative,inf
3396,sim_non_perturbative,inf
3464,sim_non_perturbative,inf
3465,sim_non_perturbative,inf
3466,sim_non_perturbative,inf
3467,sim_non_perturbative,inf
3468,sim_non_perturbative,inf
3469,sim_non_perturbative,inf
3470,sim_non_perturbative,inf
3471,sim_non_perturbative,inf
3472,sim_non_perturbative,inf
3473,sim_non_perturbative,inf
3474,sim_non_perturbative,inf
3475,sim_non_perturbative,inf
3476,sim_non_perturbative,inf
3477,sim_non_perturbative,inf
3478,sim_non_perturbative,inf
3479,sim_non_perturbative,inf
3480,sim_non_perturbative,inf
3481,sim_non_perturbative,inf
3482,sim_non_perturbative,inf
3483,sim_non_perturbative,inf
3484,sim_non_perturbative,inf
3485,sim_non_perturbative,inf
3486,sim_non_perturbative,inf
3487,sim_non_perturbative,inf
3488,sim_non_perturbative,inf
3489,sim_non_perturbative,inf
3490,sim_non_perturbative,inf
3491,sim_non_perturbative,inf
3492,sim_non_perturbative,inf
3493,sim_non_perturbative,inf
3494,sim_non_perturbative,inf
3495,sim_non_perturbative,inf
3496,sim_non_perturbative,inf
3497,sim_non_perturbative,inf
3498,sim_non_perturbative,inf
3499,sim_non_perturbative,inf
3500,sim_non_perturbative,inf
3501,sim_non_perturbative,inf
3502,sim_non_perturbative,inf
3503,sim_non_perturbative,inf
3504,sim_non_perturbative,inf
3505,sim_non_perturbative,inf
3506,sim_non_perturbative,inf
3507,sim_non_perturbative,inf
3508,sim_non_perturbative,inf
3509,sim_non_perturbative,inf
3510,sim_non_perturbative,inf
3511,sim_non_perturbative,inf
3512,sim_non_perturbative,inf
3513,sim_non_perturbative,inf
