xi,delta1,alpha2,alpha3,kappa,B0,alpha1,grid_shape,t_end,dt,scheme,bc,error,run_status,error_message,solver_exit_code,P_max,P_max_time,P_final,wall_time_s
9.433655985270208,0.08845795101758314,-3.4378826333615873,4.270250773008693,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -1.404 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -1.404 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
9.28415792359765,0.4911348122688802,-2.093243322043018,1.1939991907951006,1.0,0.001,0.0,128,5.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.975e+00 predicts growth factor 4.28e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.975e+00 predicts growth factor 4.28e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
8.914395410154189,-0.3723628882803177,-0.9764207861865364,4.83848928258071,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -2.421 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -2.421 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
9.409001729447702,-0.03256809458289461,-1.0730031791092176,3.4863979839556425,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -1.411 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -1.411 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
2.3890468136584384,-0.41799950931377877,-2.6042834711848672,3.631633888564026,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -4.638 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -4.638 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
5.108461063816601,-0.016355145399721105,-1.797918446960833,0.5152481006137467,1.0,0.001,0.0,128,5.0,auto,auto,periodic,,success,,0,6.276262241558048e-06,5.0,6.276262241558048e-06,1.33
8.187199228934125,-0.11884921210250649,-4.786596721571859,0.7409001982667114,1.0,0.001,0.0,128,5.0,auto,auto,periodic,"Simulation diverged at t=0: eigenvalue Re(λ)=3.748e+00 predicts growth factor 1.38e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",diverged,"Simulation diverged at t=0: eigenvalue Re(λ)=3.748e+00 predicts growth factor 1.38e+08 over Δt=5.0, exceeding threshold 1e+08. The system is physically unstable.",-1,,,,
5.990079846339902,0.025630028207024536,-1.9698824331447868,3.564282401173799,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -1.994 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -1.994 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
1.7242604997703388,-0.044053527745370746,-2.291697338906219,3.0333857128626835,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -4.707 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -4.707 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
5.929991455764225,-0.2500096294776929,-1.0665119934723024,2.854652397039583,1.0,0.001,0.0,128,5.0,auto,auto,periodic,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -1.601 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is positive-definite at all grid points (e.g. for Gaussian-coupled scalars: mPhi2 * mChi2 > g0^2).. Use --no-require-stable to override.,diverged,Mass matrix stability check failed: Coupled mass matrix has minimum eigenvalue -1.601 at (x=0.3906). The system has exponentially growing modes -- it will be unstable. Check that the mass matrix is po,-1,,,,
