sample_index,alpha1,alpha2,alpha3,delta1,v1_max_excess,v2_max_excess,v1_verdict,v2_verdict,sim_verdict
0,0.428187295513188,0.863838497282127,0.0850909369692279,1.31613195588403,2.036225e-01,0.000000e+00,stable,stable,not_audited
1,0.627313225679853,0.269862859015508,0.313629292746174,1.27841005039627,2.036225e-01,0.000000e+00,stable,stable,not_audited
2,0.83919488374682,-0.520637626878081,0.259619622459823,1.2007567994596,2.036219e-01,0.000000e+00,stable,stable,not_audited
3,0.29976632282144,0.421089655623124,0.291737622628031,-1.19016093349256,2.036245e-01,0.000000e+00,stable,stable,not_audited
4,0.737723815118203,0.167144790388317,0.217830015743343,1.28666738204971,2.036206e-01,0.000000e+00,stable,stable,not_audited
5,0.544147504145527,1.00255044140703,0.364702270129827,-1.36431459801586,2.036200e-01,0.000000e+00,stable,stable,not_audited
6,0.867177089075579,-1.00784561953828,0.0980986436012488,1.09017461476141,2.036192e-01,0.000000e+00,stable,stable,not_audited
7,-0.943403495098137,1.03139834556209,0.829292530006961,-0.653506862720516,2.036188e-01,0.000000e+00,stable,stable,not_audited
8,0.828686676657926,-0.630666384290274,0.581123237236721,1.15102418690782,2.036188e-01,0.000000e+00,stable,stable,not_audited
9,0.509657503255122,-1.59912977457327,0.0841787263866056,0.743735258103109,2.036180e-01,0.000000e+00,stable,stable,not_audited
10,0.448606402208813,0.105406948812111,0.287442895292914,1.139528264692,2.036178e-01,0.000000e+00,stable,stable,not_audited
11,0.942331246611731,0.667700049818723,0.0805757845663729,1.423119082565,2.036177e-01,0.000000e+00,stable,stable,not_audited
12,0.0497837379721986,-0.0222974586744293,0.251158598477121,-0.927315626676117,2.036176e-01,0.000000e+00,stable,stable,not_audited
13,0.74885700766595,1.439037166684,0.152112945426725,1.58278861294362,2.036285e-01,0.000000e+00,stable,stable,not_audited
14,0.922367048170972,0.423260216590533,1.01275811698677,-1.37207160081067,2.036173e-01,0.000000e+00,stable,stable,not_audited
15,0.951082336642775,1.32869729722815,1.57216084237405,-1.63389853429113,2.036287e-01,0.000000e+00,stable,stable,not_audited
16,0.767307945630125,-1.629708724341,1.04137682905862,0.879895458366303,2.036172e-01,0.000000e+00,stable,stable,not_audited
17,0.467964688677803,0.00916705968752085,0.172365682769016,1.120650036845,2.036169e-01,0.000000e+00,stable,stable,not_audited
18,0.403042426918913,0.834893359321134,0.147992822686189,-1.25670697764498,2.036168e-01,0.000000e+00,stable,stable,not_audited
19,-0.765202589352718,0.534557349717879,1.43391640730257,0.638063257669735,2.036294e-01,0.000000e+00,stable,stable,not_audited
20,0.323385886143797,-0.477095336910854,0.1153475639536,0.942940690624503,2.036164e-01,0.000000e+00,stable,stable,not_audited
21,0.433565081028745,-0.433342093058901,0.134322217455667,1.09349065411216,2.036307e-01,0.000000e+00,stable,stable,not_audited
22,0.582821341482833,1.37296386933975,0.0552245500429202,1.53361512923486,2.036309e-01,0.000000e+00,stable,stable,not_audited
23,-0.680396050602973,0.30805313782045,0.212708595229897,-0.618583447569794,2.036309e-01,0.000000e+00,stable,stable,not_audited
24,-0.317846724771417,0.754962974307984,0.263650461223811,-0.9230092263109,2.036151e-01,0.000000e+00,stable,stable,not_audited
25,0.750323720638411,-0.853770246063581,0.0500525638396822,-1.04301727873109,2.036148e-01,0.000000e+00,stable,stable,not_audited
26,-0.748887970417495,1.22564602372232,0.454250617126756,0.906374118775962,2.036321e-01,0.000000e+00,stable,stable,not_audited
27,0.210482293223492,0.0219007077913504,0.135434102238526,-1.10419819683621,2.036321e-01,0.000000e+00,stable,stable,not_audited
28,0.159904944054743,-0.75754225365403,0.89174393905365,-0.859101226098653,2.036332e-01,0.000000e+00,stable,stable,not_audited
29,-0.75074095409968,1.93303095656802,1.68016621658954,0.989866371331098,2.036140e-01,0.000000e+00,stable,stable,not_audited
30,0.693449606161196,0.742673518661054,0.255603052591579,-1.31898286850822,2.036139e-01,0.000000e+00,stable,stable,not_audited
31,0.257896875460273,0.157835358481853,0.0862809145313178,1.17247810664616,2.036340e-01,0.000000e+00,stable,stable,not_audited
32,0.0843581287983974,0.754323956611345,1.26314813739676,1.23487671788992,2.036346e-01,0.000000e+00,stable,stable,not_audited
33,0.921409099046032,0.0625298243551637,0.35400986589213,-1.44851497985598,2.036352e-01,0.000000e+00,stable,stable,not_audited
34,0.582295510217134,1.99331249828988,0.529469267266194,-1.68360627121596,2.036358e-01,0.000000e+00,stable,stable,not_audited
35,0.879738137022468,0.294432872453138,0.138610227950405,1.29128037568127,2.036122e-01,0.000000e+00,stable,stable,not_audited
36,0.927226301196137,1.93726436172959,0.153398033991725,1.79572699900567,2.036365e-01,0.000000e+00,stable,stable,not_audited
37,-0.614271759620449,0.494452338678966,0.488742432129089,-0.666094326701957,2.036119e-01,0.000000e+00,stable,stable,not_audited
38,-0.988950419733667,1.94990339863197,1.44381566907905,-1.00560519447385,2.036374e-01,0.000000e+00,stable,stable,not_audited
39,0.882569536575304,-0.8040951650348,0.650600620949371,1.26259349161779,2.036376e-01,0.000000e+00,stable,stable,not_audited
40,-0.99063546359726,0.90469271638378,0.0566715852160094,-0.629508293936127,2.036376e-01,0.000000e+00,stable,stable,not_audited
41,0.901315701944673,1.42929884022585,0.135757360645236,1.46831290927091,2.036112e-01,0.000000e+00,stable,stable,not_audited
42,-0.519604777529094,0.644218627716681,0.367120044192343,0.762593067633174,2.036106e-01,0.000000e+00,stable,stable,not_audited
43,0.71309167966842,-1.62508069729985,0.394314881410523,-0.81517830271747,2.036105e-01,0.000000e+00,stable,stable,not_audited
44,0.993252092705303,-1.45283741573393,0.329560326422131,-1.16885735157546,2.036393e-01,0.000000e+00,stable,stable,not_audited
